-	/fruits	/fruits/shape	/fruits/texture	/fruits/position	/fruits/hairs	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/growth form	/habit	/habit/texture	/habit/hairs	/habit/growth form	/habit/height	/inflorescences	/inflorescences/shape	/inflorescences/position	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/length	/infructescences	/infructescences/growth form	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/texture	/internodes	/internodes/hairs	/internodes/colour	/leaves	/leaves/blade	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/dimensions	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/length	/leaves/veins	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/colour	/stems	/stems/shape	/stems/texture	/stems/hairs	/stems/growth form	/stems/colour	/stems/length	/habitat	/habitat/growth form	/habitat/colour	/habitat/altitude	
Piper divaricatum 	fruits obovoid, |, glabrous, becoming exserted, 	ob,ovoid	-	-	glabrous	-	-	-	-	-	-	1-2 mm thick	thick	stigmas 3, sessile.	-	-	-	Shrub, subshrub or treelet, sometimes scandent, 	-	-	scandent	to 3 m tall	-	-	-	-	floral bracts marginally fringed. 	-	-	-	-	usually pendent	pendent	peduncle |, glabrous; 	-	glabrous	-	0.5-0.8(-1.5) cm long	-	-	-	-	-	spike |, whitish, pale yellow or green, apiculate; 	apiculate	-	whitish,yellow	3-6 cm long	Infructescence 	-	-	6 x 1 cm (when dried)	-	-	-	-	-	blade |, dark glandular-dotted on both sides, |, 	-	-	-	-	apex acute to acuminate, 	acute to acuminate	-	base almost equal, obtuse or acute, glabrous; 	obtuse or acute	glabrous	-	-	-	10-20 x 3-8 cm	-	-	-	-	rhombic, somewhat asymmetric	rhombic	coriaceous, drying shiny or membranous	-	Petiole |, vaginate or grooved to apex; 	-	-	-	-	1-2.2 cm long	pinnately veined, secondary veins 4-6 per side, originating from lower 3/4 of primary vein, at a wide angle and abruptly curving upward, not anastomosing, shallowly or deeply impressed above, prominulous to prominent below, tertiary veins reticulate, slightly prominulous or inconspicuous. 	-	-	-	-	-	Stem glabrous. 	-	-	glabrous	-	-	-	in riverine forest, swamp forest, occasionally reported from regenerating forest.	-	-	-	
Piper duckei 	Fruits obpyramidate-trigonous,      	ob	-	-	-	-	apex depressed, glandular, pubescent, 	-	-	-	pubescent	-	-	stigmas 3, linear, sessile.	linear	-	-	Shrub 	-	-	-	to 1.5 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	erect	erect	peduncle |, crisp-pubescent; 	-	pubescent	-	0.4-1.5 cm long	-	-	-	-	-	spike |, pink, apiculate; 	apiculate	-	pink	to 16 cm long	-	-	-	-	-	-	-	-	-	blade drying glossy above, |, not conspicuously glandular-dotted, |, 	-	-	-	-	apex (long) acuminate, 	acuminate	-	base equal or unequally attached to petiole difference |, rounded or cordulate, one side may be subacute, glabrous above, hirsute below, veins densely so; 	subacute,rounded	glabrous,hirsute	-	-	0-0.5 cm	13-21 x 7.5-10 cm	-	-	-	-	slightly asymmetrical, broadly elliptic	asymmetrical	not scabrous	-	Petiole |, hirsute, broadly vaginate or winged to apex; 	-	-	hirsute	-	0.5-1.2 cm long	pinnately veined, secondary veins 4-8 per side, originating from lower 3/4 or 2/3 of primary vein, impressed above, tertiary veins reticulate, prominulous. 	-	-	-	-	-	Stem densely hirsute. 	-	-	hirsute	-	-	-	dense forest on brown sand, 	-	brown	240 m	
Piper dumosum 	Fruits obovoid to trigonous, glabrous, depressed at apex when dried,      	ob,ovoid	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas 3, erect.	-	-	erect	Shrub or treelet 	-	-	-	to 3 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	pendent	pendent	peduncle |, slender, glabrous, green to reddish; 	-	glabrous	green to reddish	1-1.2 cm long	-	-	-	-	-	spike |, white, yellowish to green, not apiculate; 	apiculate	-	white,yellowish	5-8 cm long	-	-	-	-	-	-	-	-	-	blade |, glandular-dotted, |, 	-	-	-	-	apex short-acuminate, 	acuminate	-	base equal or almost equally attached to petiole, acute, truncate to subcordate, sparsely villous above, more densely so below; 	acute,subcordate,truncate,truncate to subcordate	villous	-	-	-	18-22(-27) x 5.5-7.5(-17) cm	-	-	-	-	lance-elliptic to ovate to broadly ovate	ovate	may be somewhat bullate in vivo	-	Petiole 0.5-2(to 6 in fertile twigs) cm long, dark-villous (hairs at least 	-	-	hairs,villous	-	1 mm long	pinnately veined, secondary veins 5-6 per side, originating from lower 3/4 of primary vein. 	-	-	-	-	-	Stem glabrous, densely dark glandular-dotted. 	-	-	glabrous	-	-	-	mainly from dense forest, or swampy places, 	-	-	up to 700 m	
Piper eucalyptifolium 	Fruits depressed globose, glabrous,      	globose	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas 3(-4), sessile.	-	-	-	Shrub or treelet |, glabrous except for subnodal lines of hairs on stem. 	-	glabrous,hairs	-	to 2 m tall	-	-	-	-	floral bracts cucullate, inflexed, glabrous. 	cucullate	-	glabrous	-	erect	erect	peduncle |, glabrescent; 	-	glabrescent	-	ca. 0.5 cm long	-	-	-	-	-	spike |, apiculate; 	apiculate	-	-	0.5-3 cm long	-	-	-	-	-	-	-	-	-	blade |, not conspicuously glandular-dotted, dark green above, pale below, |, 	-	-	-	green	apex long-acuminate, 	acuminate	-	base almost equal, acute, glabrous; 	acute	glabrous	-	-	-	6-16 x 1.5-3 cm	-	-	-	-	narrowly lanceolate	-	not scabrous	-	Petiole |, ciliate, vaginate to apex; 	-	-	ciliate	-	0.3-0.7 cm long	pinnately veined, secondary veins 8-15 per side, originating from throughout primary vein, plane above, slightly prominulous below, tertiary veins obsolete. 	ob	-	-	-	-	-	-	-	-	-	-	-	in dense forest understorey, 	-	-	up to 639 m	
Piper fanshawei 	Fruits obovoid, puberulent at depressed apex,      	ob,ovoid	-	-	puberulent	-	-	-	-	-	-	-	-	stigmas sessile.	-	-	-	Small shrub 	-	-	-	to 2 m tall	-	-	-	-	floral bracts dorsally fringed, crowded. 	-	-	-	-	erect	erect	peduncle filiform, 	filiform	-	-	1-1.5 cm long	-	-	-	-	-	spike |, apiculate; 	apiculate	-	-	2 cm long	-	-	-	-	-	-	-	-	-	blade |, not glandular- but finely pellucid-dotted, 	-	-	-	-	apex acuminate, 	acuminate	-	base equal or unequally attached to petiole difference |, acute, glabrous; 	acute	glabrous	-	-	0.2 cm	10-14 x 3-4.5 cm	-	margin not ciliate,       	-	ciliate	elliptic(-oblong)	oblong	not scabrous	-	Petiole |, glabrous, vaginate below middle; 	-	-	glabrous	-	1-2 cm long	pinnately veined, secondary veins 5-6 per side, originating from throughout primary vein, plane or inconspicuous above, slightly prominulous below, tertiary veins inconspicuous. 	-	-	-	-	-	Stem glabrous. 	-	-	glabrous	-	-	-	-	-	-	600-1500 m	
Piper flexuosum 	Fruits depressed globose or ovoid, glabrous,      	globose or ovoid	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas sessile.	-	-	-	Shrub to 2? m tall. 	-	-	-	-	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	erect or slightly curved	erect	peduncle |, crisp-pubescent; 	-	pubescent	-	0.5 cm long	-	-	-	-	-	spike |, apiculate; 	apiculate	-	-	4-6 cm long	-	-	-	-	-	-	-	-	-	blade |, glandular-dotted, |, 	-	-	-	-	apex acute, 	acute	-	base almost equally attached to petiole, unequally obtuse or acute, glabrous except for veins crisp-pubescent below; 	obtuse or acute	glabrous,pubescent	-	-	-	8-13 x 3.5-5.5 cm	-	-	-	-	elliptic	-	not scabrous	-	Petiole |, crisp-pubescent, vaginate to apex; 	-	-	pubescent	-	0.5 cm long	pinnately veined, secondary veins 5-7 per side, originating from throughout primary vein, prominent below, tertiary veins inconspicuously reticulate. 	-	-	-	-	-	Stem densely crisp- pubescent. 	-	-	pubescent	-	-	-	-	-	-	-	
Piper fuligineum 	fruits globose to trigonous, |, glabrous, 	globose	-	-	glabrous	-	-	-	-	-	-	0.8-1 mm wide	-	stigmas 3, sessile.	-	-	-	Stout herb or slender shrub, 	-	-	-	ca. 1 m tall	-	-	-	-	floral bracts ciliate and hirtellous. 	-	-	ciliate,hirtellous	-	erect	erect	peduncle 	-	-	-	0.2-0.6 cm long	-	-	rachis glabrous or sparsely pubescent; 	glabrous,pubescent	-	spike |, green, not apiculate; 	apiculate	-	green	3.5-7 cm long	Infructescence erect, 	erect	-	3.5-7 cm long	-	-	-	-	-	blade |, not conspicuously glandular-dotted, yellow-green, |, 	-	-	-	green,yellow	apex long-acuminate to obtuse, 	acuminate to obtuse	-	base equal or almost equally attached to petiole, unequally cordate, lepidote-scabrid above, lower surface and veins hirsute; 	cordate	hirsute,lepidote	-	-	-	5-12 x 2.5-6.5 cm	-	-	-	-	ovate	ovate	scabrous	-	Petiole |, pubescent, vaginate at base; 	-	-	pubescent	-	0-0.4 cm long	pinnately veined, secondary veins 3-5 per side, originating from lower 1/3 of primary vein, impressed above, prominent below. 	-	-	-	-	-	Stem pubescent. 	-	-	pubescent	-	-	-	on edges of streams in savanna areas, in Brazil 	-	-	up to 1200 m	
Piper glabrescens 	fruits depressed globose or subtetragonous, |, glabrous, glandular, 	globose	-	-	glabrous	-	-	-	-	-	-	1.2 mm in diam.	-	stigmas 3, sessile.	-	-	-	Shrub 	-	-	-	to 1.5-2 m tall	-	-	-	-	floral bracts glabrous to papillate. 	-	-	glabrous	-	erect	erect	peduncle |, glabrous; 	-	glabrous	-	to 1.5 cm long	-	-	-	-	-	spike |, apiculate; 	apiculate	-	-	to 6 cm long	Infructescence 	-	-	to 0.5 cm thick	thick	-	-	-	-	blade |, densely glandular-dotted, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base equal or unequally attached to petiole difference 	-	-	-	-	0.2 cm	14-28 x 7-14 cm	-	-	-	-	elliptic to ovate	ovate	not scabrous	-	Petiole |, vaginate to apex, glabrescent; 	-	-	glabrescent	-	1-3.2 cm long	pinnately veined, secondary veins 5-7 per side, originating from lower 2/3 of primary vein, slightly impressed above, prominulous below, tertiary veins more or less parallel. 	-	-	-	-	-	Stem glabrescent. 	-	-	glabrescent	-	-	-	-	-	-	up to 900 m	
Piper guianense 	Fruits without style,      	-	-	-	-	-	-	-	-	-	-	-	-	stigmas 3?, sessile.	-	-	-	Small shrub, often scrambling, rooting at lower nodes. 	-	-	-	-	-	-	-	-	floral bracts rounded to cucullate, sparsely fringed, with central dark gland; 	rounded to cucullate	-	-	-	erect	erect	peduncle filiform, |, sparsely pubescent; 	filiform	pubescent	-	to 3(-4) cm long	-	-	-	-	-	spike |, apiculate; 	apiculate	-	-	1-1.7 cm long	-	-	-	-	-	-	-	-	-	blade |, somewhat glandular-dotted below, |, 	-	-	-	-	apex acute to acuminate, 	acute to acuminate	-	base equal, obtuse, truncate, rounded or subacute, glabrous except sparsely minutely pubescent veins above, minutely crisp-pubescent on veins below; 	ob,obtuse,rounded,truncate	glabrous,pubescent	-	-	-	5-8(-13) x 1.5-3.5(-6.3) cm	-	margin ciliate towards apex, 	-	ciliate	narrowly ovate to ovate	ovate	not scabrous	-	Petiole |, sparsely pubescent or glabrescent, vaginate to apex; 	-	-	pubescent or glabrescent	-	0.7-1.5 cm long	pinnately veined, secondary veins 4-5(-7) per side, originating from lower 1/3 or more of primary vein, 2 originating from base, tertiary venation reticulate obsolete above, slightly visible below, primary vein slightly impressed above, prominulous below. 	ob	-	-	-	-	Stem ribbed, glabrous, younger parts sparsely pubescent. 	-	-	glabrous,pubescent	-	-	-	-	-	-	-	
Piper hirtilimbum 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Shrub 	-	-	-	to 0.5 m tall	-	-	-	-	floral bracts densely marginally fringed; 	-	-	-	-	pendent	pendent	peduncle |, long-hirsute; 	-	hirsute	-	0.5-1.2 cm long	-	-	rachis presumably puberulent; 	puberulent	-	spike |, hardly apiculate; 	apiculate	-	-	1-3 cm long	-	-	-	-	-	-	-	-	-	blade |, glandular-dotted, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base unequally attached to petiole difference |, rounded to subcordate, pilose above and below; 	rounded to subcordate	pilose	-	-	0-0.8 cm	16-25 x 6-9.5 cm	-	margin long-ciliate, 	-	ciliate	obovate to elliptic or elliptic-oblong	oblong,ovate	not scabrous	-	Petiole |, long-hirsute, vaginate to apex (or to middle); 	-	-	hirsute	-	1-3 cm long	pinnately veined, secondary veins 5-8 per side, originating from lower 2/3 of primary vein, flat above, prominent below, tertiary veins parallel and reticulate. 	flat	-	-	-	-	Stem long-hirsute, hairs 	-	-	hairs,hirsute	-	-	-	in dense forest on brown sand, 	-	brown	240-700 m	
Piper hispidum 	fruits oblongoid to rounded-trigonous, hirsute,       	oblongoid to rounded	-	-	hirsute	-	-	-	-	-	-	-	-	stigmas 3, sessile.	-	-	-	Shrub or subshrub, occasionally with scrambling branches, 	-	-	-	2-3 m tall	-	-	-	-	floral bracts densely marginally fringed, 	-	-	-	-	erect	erect	peduncle |, pubescent; 	-	pubescent	-	to 1 cm long	-	-	-	-	-	spike |, white, cream or pale green, not apiculate; 	apiculate	-	cream,green,white	8-14 cm long	Infructescence grey or grey green;      	-	green,grey	-	-	-	-	-	-	blade |, glandular-dotted, often greyish below, |, 	-	-	-	greyish	apex acuminate, 	acuminate	-	base unequally attached to petiole difference |, obliquely rounded or cuneate with one side occasionally cordulate, lepidote-scabrid above, veins hirsute on both surfaces; 	ob,oblique,rounded	hirsute,lepidote	-	-	0.2-0.6 cm	11-23 x 4-11 cm	-	-	-	-	elliptic or elliptic-ovate	ovate	scabrous often on both surfaces	-	Petiole |, hirsute; 	-	-	hirsute	-	0.5-1 cm long	pinnately veined, secondary veins 5-6 per side, originating from lower 1/2 of primary vein, tertiary veins transversely reticulate. 	-	-	-	-	-	Stem hirsute to glabrescent. 	-	-	hirsute to glabrescent	-	-	-	in secondary vegetation, on creek banks in forest and in dense forest, 	-	-	from sea level to 700 m	
Piper hostmannianum 	fruits oblongoid or trigonous, glabrous to puberulent at apex,       	oblongoid	-	-	glabrous to puberulent	-	-	-	-	-	-	-	-	stigmas 3, sessile.	-	-	-	Shrub, subshrub or treelet 	-	-	-	to 7 m tall	-	-	-	-	floral bracts densely crowded, spirally arranged, densely marginally fringed. 	-	-	-	-	erect	erect	peduncle |, crisp-pubescent; 	-	pubescent	-	1 cm long, to 1.5 cm in fruit	-	-	-	-	-	spike |, white or yellow; 	-	-	white or yellow	10-12 cm long	Infructescence green, 	-	green	to 12 cm long |, 4 mm wide	-	-	-	-	-	blade not conspicuously glandular-dotted, shiny, 	-	-	-	-	apex acuminate, 	acuminate	-	base unequally attached to petiole difference |, obtuse, rounded to subcordate, sometimes acute, glabrous above, below densely appressed pubescent on veins; 	acute,subcordate,ob,obtuse,rounded,rounded to subcordate	glabrous,appressed pubescent	-	-	0-0.7 cm	10-25 x 2.5-13 cm	-	margin not ciliate, 	-	ciliate	broadly elliptic or broadly to narrowly ovate	ovate	-	-	petiole |, crisp-pubescent, vaginate to apex; 	-	-	pubescent	-	0.5-1(-1.5) cm long	pinnately veined, secondary veins 3-6 per side, originating from lower 3/4 of primary vein, at an angle of 60º, anastomosing, soon abruptly ascending at an angle of 120º, intersecondaries conspicuous, tertiary veins widely reticulate. 	-	-	-	-	-	Stem crisp-pubescent. 	-	-	pubescent	-	-	-	-	-	-	-	
Piper humistratum 	fruits oblongoid, sunken, glabrous,       	oblongoid	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas 4, sessile.	-	-	-	Creeping herb or subshrub to 	-	-	-	0.35 m tall	-	-	-	-	floral bracts glabrous, slightly cucullate. 	cucullate	-	glabrous	-	erect	erect	peduncle |, villous; 	-	villous	-	1.5-2.5 cm long	-	-	-	-	-	spike |, green or yellow or rosish, not apiculate; 	apiculate	-	green or yellow	2-4 cm long	Infructescence occasionally pendent;      	pendent	-	-	-	-	-	-	-	blade discolourous, |, not conspicuously glandular-dotted, |, 	-	-	-	-	apex obtuse or acutish, 	obtuse	-	base unequally attached to petiole difference |, obliquely rounded, glabrous above, veins brown-villous below; 	oblique,rounded	glabrous,villous	-	brown	0.2-0.5 cm	9-15(-18) x 5-7(-8.5) cm	-	-	-	-	elliptic to broadly elliptic	-	not scabrous	-	Petiole |, villous; 	-	-	villous	-	1-2(-5.5) cm long	pinnately veined, secondary veins 3-5 per side, originating from lower 3/4 or more of primary vein, anastomosing, impressed above, prominent below like tertiary veins, those loosely reticulate. 	-	-	-	-	-	Stem villous often with white hairs. 	-	-	hairs,villous	-	white	-	often on rocks and in humid places in primary forest, 	-	-	up to 800 m	
Piper hymenophyllum 	Fruits obovoid to depressed globose, glabrous,      	globose,ovoid	-	-	glabrous	-	-	-	-	-	-	0.5-1 mm long	-	stigmas 3 or 2, recurved, 	-	-	recurved	Scandent or creeping shrub, climbing branches rooting at nodes. 	-	-	creeping	-	-	-	-	-	floral bracts pubescent at base, densely marginally fringed; 	-	-	pubescent	-	horizontally oriented? later recurved	recurved	peduncle |, pubescent or glabrescent; 	-	pubescent or glabrescent	-	0.8-2 cm long	-	-	-	-	-	spike protandrous (presenting staminate flowers first, pistillate flowers afterwards), |, green, not apiculate; 	apiculate	-	green	1-3.5 cm long	-	-	-	-	-	-	-	-	-	blade not conspicuously glandular-dotted, |, subobovate or ovate, 	ob,ovate	-	-	-	apex (long-)acuminate, 	acuminate	-	base unequally attached to petiole difference |, unequally cordate or obtuse, glabrescent but veins may be recurved-pubescent; 	cordate or obtuse	glabrescent,pubescent	recurved	-	0.1-0.7 cm	4-17 x 3-6.5 cm, (on young creeping branches ca. 1.5-5 x 0.8-1.8 cm	creeping	margin occasionally ciliate, 	-	ciliate	elliptic	-	-	-	Petiole |, pubescent, vaginate to apex; 	-	-	pubescent	-	0.5-1 cm long	pinnately veined, secondary veins 6-8 per side, originating from throughout primary vein, impressed above, prominent below, tertiary veins inconspicuously reticulate. 	-	-	-	-	-	Stem ridged, pubescent with recurved hairs. 	-	-	hairs,pubescent	recurved	-	-	-	-	-	-	
Piper inaequale 	fruits obovoid or slightly flattened, |, somewhat separate, glabrous or minutely papillate, 	flattened,ob,ovoid	-	-	glabrous	-	-	-	-	-	-	ca. 2 mm wide	-	stigmas 3-4, lanceolate, sessile.	-	-	-	Shrub or treelet |, almost glabrous. 	-	glabrous	-	to 3(-5) m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	pendent	pendent	peduncle slender, |, glabrous; 	-	glabrous	-	1.5-2.5 cm long	-	-	rachis glabrous; 	glabrous	-	spike |, not apiculate; 	apiculate	-	-	1.5-5 cm long	Infructescence 	-	-	to 9 cm long	-	-	-	-	-	blade sometimes discolorous and pale brown beneath, |, not conspicuously glandular-dotted, |, 	-	-	-	brown	apex acute to short-acuminate, lower half of blade asymmetrical, 	acuminate,acute,asymmetrical	-	base unequally attached to petiole difference |: shorter side obtuse to abruptly acute, longer side abruptly rounded, obtuse or cordate, glabrous, except minutely pubescent veins below; 	acute,cordate,ob,obtuse,obtuse or cordate,rounded	glabrous,pubescent	-	-	0-0.5 cm	20-24(-36) x 7.5-9.5(-17) cm	-	-	-	-	elliptic-oblong or somewhat ovate	oblong,ovate	not scabrous	-	Petiole |, vaginate and narrowly winged to apex; 	-	-	-	-	2.5-4.5(-7.5) cm long	pinnately veined, secondary veins 5-6(-8) per side, widely spaced, originating from lower 2/3 or more of primary vein, anastomosing well within margin, prominent below, tertiary veins very widely reticulate, minutely pubescent below. 	-	thin	-	pubescent	-	-	-	-	-	-	-	-	in forest, 	-	-	to 150 m	
Piper insipiens 	fruits trigonous, glabrous, yellowish to green,       	-	-	-	glabrous	yellowish to green	-	-	-	-	-	-	-	stigmas 3, short, sessile.	-	-	-	Shrub, subshrub or treelet, may be somewhat scandent, 	-	-	scandent	to 2 m tall	-	-	-	-	floral bracts triangular, densely marginally fringed. 	triangular	-	-	-	erect	erect	peduncle slender, 	-	-	-	1-3.5 cm long	-	-	rachis papillose; 	-	-	spike |, white, yellowish or greyish-green, apiculate; 	apiculate	-	green,greyish,white,yellowish,yellowish or greyish	7-13 cm long	Infructescence green, erect or pendent;      	erect or pendent	green	-	-	-	-	-	-	blade |, discolorous often drying yellowish, conspicuously dark-glandular-dotted, |, 	-	-	-	yellowish	apex (long-)acuminate, 	acuminate	-	base equal or unequally attached to petiole difference |, acute, cuneate or obtusish, glabrous above, glabrous often minutely crisp-pubescent below especially on veins; 	acute,cuneate,cuneate or ob	glabrous,pubescent	-	-	up to 0.5 cm	13-23 x 4-8.5 cm	-	-	-	-	elliptic, ovate, elliptic-oblong or rhombic	oblong or rhombic	fleshy, drying membranous	-	Petiole |, vaginate to apex; 	-	-	-	-	0.3-2.5 cm long	pinnately veined, secondary veins 4-6 per side, originating from lower 1/2 or 2/3 of primary vein, plane above, prominulous to prominent below, tertiary veins widely reticulate, areoles almost rectangular. 	angular	-	-	-	-	Stem, petiole and peduncle and even primary vein below maybe reddish (brown), or yellowish, glabrous. 	-	-	glabrous	-	brown,reddish,yellowish	-	dark, humid, primary forest or swamp forest, 	-	-	from sea level to 700 m	
Piper marginatum 	Fruits oblongoid, glabrous,      	oblongoid	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas 3, sessile.	-	-	-	Subshrub or treelet, 	-	-	-	to 3 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	erect and recurved	erect,recurved	peduncle |, glabrous; 	-	glabrous	-	1 cm long	-	-	-	-	-	spike 	-	-	-	10-13(-20) cm long	-	-	-	-	-	-	-	-	-	blade not dark glandular-dotted, 	-	-	-	-	apex (long-)acuminate, 	acuminate	-	base equal or almost equally attached to petiole, deeply cordate, glabrescent or veins puberulent; 	cordate	glabrescent,puberulent	-	-	-	10-12 x 8-15 cm	-	margin ciliate, 	-	ciliate	rounded to ovate	rounded to ovate	-	-	Petiole vaginate to apex, |, glabrous; 	-	-	glabrous	-	4 cm long	palmately 9-11-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Piper nigrispicum 	fruits trigonous or subtetragonous with narrow “collar”, glabrous, green,       	-	-	-	glabrous	green	-	-	-	-	-	-	-	stigmas 3, sessile.	-	-	-	Shrub 	-	-	-	to 2.5 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	pendent	pendent	peduncle slender, |, glabrous, often reddish or violaceous; 	-	glabrous	reddish	0.5-1.8 cm long	-	-	-	-	-	spike |, green, yellow to reddish, apiculate; 	apiculate	-	green,reddish,yellow,yellow to reddish	1-5 cm long	Infructescence pendent, green;      	pendent	green	-	-	-	-	-	-	blade shiny dark green above, pale below, densely black glandular-dotted, translucent dotted in vivo, 	-	-	-	black,green	apex acuminate, 	acuminate	-	base equal or almost equally attached to petiole, acute or cuneate or obtusish, occasionally rough above (from scale-like emergent structures), glabrous below; 	acute or cuneate,cuneate or ob	glabrous	-	-	-	8-15 x 3-6 cm	-	-	-	-	(narrowly) ovate to elliptic-oblong	oblong,ovate	-	-	Petiole |, glabrous, pubescent when young, vaginate at base; 	-	-	glabrous,pubescent	-	0.4-0.8 cm long	pinnately veined, secondary veins 3-5 per side, anastomosing near margin, originating from lower 3/4 of primary vein, tertiary veins widely reticulate, not conspicuous. 	-	-	-	-	-	Stem glabrous, young ones often reddish. 	-	-	glabrous	-	reddish	-	in forest 	-	-	from sea level to 700 m	
Piper nigrum 	Fruits globose, |, glabrous, red or black, 	globose	-	-	glabrous	red or black	-	-	-	-	-	5-6 mm long	-	stigmas 2-3, sessile.	-	-	-	Shrub sometimes with scrambling branches or liana. 	-	-	-	-	-	-	-	-	floral bracts glabrous. 	-	-	glabrous	-	pendent	pendent	peduncle 	-	-	-	1-2.5 cm long	-	-	-	-	-	spike |, apiculate or not; 	apiculate	-	-	5-10 cm long	Infructescence pendent, |, more than 	pendent	-	12 cm long |, 0.5 cm thick	thick	-	-	-	-	blade |, not glandular-dotted, |, 	-	-	-	-	apex acute to short-acuminate, 	acuminate,acute	-	base equal or almost equally attached to petiole, subacute to obtusish, glabrous; 	subacute to ob	glabrous	-	-	-	8-19 x 5-10 cm	-	-	-	-	elliptic, ovate to broadly ovate	ovate	not scabrous	-	Petiole |, glabrous, vaginate to apex; 	-	-	glabrous	-	1-2 cm long	palmately-pinnately veined, secondary veins 2-3 per side, originating from lower 1/4 of primary vein, flat to prominulous above, prominulous to prominent below, tertiary veins reticulate. 	flat	-	-	-	-	Stem glabrous. 	-	-	glabrous	-	-	-	-	-	-	-	
Piper obliquum 	Fruits obovoid or oblongoid, sometimes flattened at apex, |, minutely pubescent or glabrous or with a few basal hairs, 	flattened,ob,oblongoid,ovoid,ovoid or ob,ovoid or oblongoid	-	-	hairs,pubescent	-	-	-	-	-	-	1-2 mm in diam.	-	stigmas 3, often quite long, sessile, sometimes on a short style.	-	-	-	Shrub or treelet, 	-	-	-	1.5-8 m tall	-	-	-	-	floral bracts triangular-rounded to cucullate, glabrous. 	cucullate,rounded,rounded to cucullate	-	glabrous	-	pendent	pendent	peduncle |, pubescent to glabrescent; 	-	pubescent to glabrescent	-	2-5 cm long	-	-	rachis pubescent; 	pubescent	-	spike |, reddish when young, apiculate; 	apiculate	-	reddish	(8-)20-60(-70) cm long	-	-	-	-	-	-	-	-	-	blade |, not glandular-dotted, |, 	-	-	-	-	apex acute to acuminate, 	acute to acuminate	-	base unequally attached to petiole difference |, unequally lobed, basal lobes shorter or longer than petiole, occasionally overlapping the latter, glabrous above, more or less brown-pubescent below, especially on veins; 	ob	glabrous,pubescent	-	brown	up to 1 cm	20-60(-70) x (12-)20-35 cm	-	-	-	-	elliptic-ovate to oblong	ovate to oblong	not scabrous	-	Petiole |, glabrous or densely brown-pubescent, green to brown, vaginate or winged to apex; 	-	-	glabrous,pubescent	green to brown	3-7(-10) cm long	pinnately veined, secondary veins 5-9, per side originating from lower 3/4 of primary vein. 	-	-	-	-	-	Stem densely pubescent to glabrescent. 	-	-	pubescent to glabrescent	-	-	-	in moist forest  	-	-	from sea-levelto 2000 m	
