-	/fruits	/fruits/shape	/fruits/shape	/fruits/texture	/fruits/texture	/fruits/position	/fruits/position	/fruits/hairs	/fruits/hairs	/fruits/colour	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/position	/fruits/apex/hairs	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/length	/fruits/dimensions (merged)/length/minimum	/fruits/dimensions (merged)/length/maximum	/fruits/dimensions (merged)/width	/fruits/dimensions (merged)/width/minimum	/fruits/dimensions (merged)/width/maximum	/fruits/dimensions (merged)/texture	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/minimum	/fruits/stigma/maximum	/fruits/stigma/shape	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/hairs	/fruits/stigma/growth form	/fruits/stigma/growth form	/habit	/habit/minimum	/habit/maximum	/habit/texture	/habit/texture	/habit/hairs	/habit/hairs	/habit/growth form	/habit/growth form	/habit/height	/habit/height/minimum	/habit/height/maximum	/inflorescences	/inflorescences/minimum	/inflorescences/maximum	/inflorescences/shape	/inflorescences/shape	/inflorescences/position	/inflorescences/position	/inflorescences/colour	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/minimum	/inflorescences/peduncle/maximum	/inflorescences/peduncle/shape	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/peduncle/length/minimum	/inflorescences/peduncle/length/maximum	/inflorescences/position	/inflorescences/position/colour	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/colour	/inflorescences/spikes/length	/inflorescences/spikes/length/minimum	/inflorescences/spikes/length/maximum	/infructescences	/infructescences/growth form	/infructescences/growth form	/infructescences/colour	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/length	/infructescences/dimensions (merged)/width	/infructescences/dimensions (merged)/minimum	/infructescences/dimensions (merged)/maximum	/infructescences/dimensions (merged)/texture	/infructescences/dimensions (merged)/texture	/internodes	/internodes/minimum	/internodes/maximum	/internodes/hairs	/internodes/hairs	/internodes/colour	/internodes/colour	/leaves	/leaves/minimum	/leaves/maximum	/leaves/blade	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/base/differential distance/minimum	/leaves/blade/base/differential distance/maximum	/leaves/blade/dimensions	/leaves/blade/dimensions/length	/leaves/blade/dimensions/length/minimum	/leaves/blade/dimensions/length/maximum	/leaves/blade/dimensions/width	/leaves/blade/dimensions/width/minimum	/leaves/blade/dimensions/width/maximum	/leaves/blade/dimensions/minimum	/leaves/blade/dimensions/maximum	/leaves/blade/dimensions/growth form	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/minimum	/leaves/blade/margins/maximum	/leaves/blade/margins/shape	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/shape/minimum	/leaves/blade/shape/maximum	/leaves/blade/shape/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/minimum	/leaves/petiole/maximum	/leaves/petiole/texture	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/colour	/leaves/petiole/length	/leaves/petiole/length/minimum	/leaves/petiole/length/maximum	/leaves/veins	/leaves/veins/minimum	/leaves/veins/maximum	/leaves/veins/shape	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/hairs	/leaves/veins/colour	/leaves/veins/colour	/stems	/stems/shape	/stems/shape	/stems/texture	/stems/texture	/stems/hairs	/stems/hairs	/stems/growth form	/stems/growth form	/stems/colour	/stems/colour	/stems/length	/stems/length/minimum	/stems/length/maximum	/habitat	/habitat/growth form	/habitat/growth form	/habitat/colour	/habitat/colour	/habitat/altitude	/habitat/altitude/minimum	/habitat/altitude/maximum
Piper brasiliense 	fruits globose, depressed at apex, densely crisp-pubescent,       	3814	globose	0	-	0	-	386	pubescent	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 3, recurved, on long, pilose style.	-	-	0	-	316	pilose	127	recurved	Small shrub, 	-	-	0	-	0	-	0	-	to 1 m tall	-	1	-	-	-	0	-	0	-	0	-	floral bracts narrowly sublunulate, sparsely puberulous. 	0	-	0	-	351	puberulous	0	-	106	pendent	106	pendent	peduncle |, densely pubescent; 	-	-	0	-	386	pubescent	0	-	0.3-0.4 (0.8 in fruit) cm long	0.3	0.4	-	0	-	-	0	-	0	-	spike |, not apiculate?; 	616	apiculate	0	-	0	-	1-1.5 cm long	1	1.5	Infructescence pendent, 	106	pendent	0	-	2.5 cm long |, ca. 1 cm thick	-	-	-	-	664	thick	-	-	-	0	-	0	-	-	-	-	blade |, densely glandular-dotted below, |, 	0	-	0	-	0	-	0	-	apex acute to slightly acuminate, 	124	acuminate,acute	0	-	base unequally attached to petiole difference |, narrowing to lobed base, lobes shorter than petiole, unequal, longer one subreniform, overlapping petiole, blade glabrous above, densely pubescent with long hairs below including veins; 	4306	ob,subreniform	71	glabrous,hairs,pubescent	0	-	0	-	0-0.2 cm	-	-	9.5-16 x 3.5-7.2 cm	16	-	-	3.5-7.2	3.5	7.2	9.5	16	0	-	-	-	-	0	-	0	-	0	(narrowly) elliptic to subobovate	-	-	4306	ob,ovate	not scabrous	0	-	Petiole |, densely pubescent with long hairs, vaginate at base; 	-	-	0	-	0	-	106	hairs,pubescent	0	-	0.5-1 cm long	-	-	pinnately veined, secondary veins 6-11 per side, originating from throughout primary vein, prominulous above, prominulous below, tertiary veins reticulate. 	6	11	0	-	0	-	0	-	0	-	0	-	Stem densely retrorsely pubescent with hairs 	0	-	0	-	106	hairs,pubescent	0	-	0	-	-	-	-	-	0	-	0	-	up to 650 m	-	650
Piper brownsbergense 	fruits depressed-globose to obovoid, glabrous or papillate at apex, substylose,       	3883	globose to ob,ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 3.	-	-	0	-	0	-	0	-	Small shrub or subshrub, 	-	-	0	-	0	-	0	-	0.15-1.5 m tall	0.15	1.5	-	-	-	0	-	0	-	0	-	floral bracts triangular-subpeltate, marginally fringed. 	7135	triangular	0	-	0	-	0	-	0	pendent under leaves	106	pendent	peduncle |, pilose, glabrescent; 	-	-	0	-	71	glabrescent,pilose	0	-	1-2 cm long	-	-	-	0	-	-	0	-	0	-	spike 	0	-	0	-	0	-	to 5.5 cm long	-	5.5	Infructescence pendent;      	106	pendent	0	-	-	-	-	-	-	0	-	upper internodes drying finely ridged. 	-	-	0	-	0	-	-	-	-	blade glandular-dotted, 	0	-	0	-	0	-	0	-	apex acute to acuminate, 	250	acute to acuminate	0	-	base equal or unequally attached to petiole difference |, subcordate or obtuse, shorter side cuneate, pilose above, more densely so below; 	2172	subcordate or obtuse	316	pilose	0	-	0	-	0.2-0.3 cm	0.2	0.3	(7-)11-21 x (3-)4-11 cm	-	-	-	-	-	-	11	21	0	-	margin ciliate, 	-	-	0	-	1	ciliate	0	elliptic, lanceolate-oblong or ovate	-	-	4882	oblong or ovate	somewhat scabrous	0	-	Petiole |, pilose; 	-	-	0	-	0	-	316	pilose	0	-	(0.2-)0.3-0.5(-3.5) cm long	0.3	0.5	secondary veins 4-7(-9) per side, originating from throughout primary vein, tertiary venation widely reticulate. 	4	7	0	-	0	-	0	-	0	-	0	-	Stem somewhat yellow-glandular, pilose, hairs 	0	-	0	-	106	hairs,pilose	0	-	2486	yellow	-	-	-	-	0	-	0	-	from 0 to 700 m	0	700
Piper cernuum 	Fruits obovoid, |, puberulent at apex, 	4306	ob,ovoid	0	-	0	-	351	puberulent	0	-	-	0	-	0	-	0	-	0	-	to 8 mm long |, ca. 2-2.5 mm wide	-	-	-	-	-	-	0	-	stigmas 3, sessile, 	-	-	0	-	0	-	0	-	Shrub or treelet, 	-	-	0	-	0	-	0	-	2-6 m tall	2	6	-	-	-	0	-	0	-	0	-	floral bracts marginally fringed; 	0	-	0	-	0	-	0	-	106	pendent	106	pendent	peduncle |, densely pubescent; 	-	-	0	-	386	pubescent	0	-	1-3(-5) cm long	1	3	-	0	-	rachis glabrous; 	71	glabrous	0	-	spike |, yellow, not apiculate; 	616	apiculate	0	-	2486	yellow	20-60 cm long	20	60	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex acute, 	247	acute	0	-	base equal or almost equally attached to petiole, deeply unequally lobed, glabrous or sparsely pubescent above, veins glabrescent above, densely pubescent below; 	4306	ob	71	glabrous,pubescent	0	-	0	-	-	-	-	23-60 x 14-28 cm	60	-	-	14	-	-	23	60	0	-	-	-	-	0	-	0	-	0	broadly ovate to elliptic-ovate	-	-	5167	ovate	not scabrous	0	-	Petiole vaginate to apex, |, densely pubescent; 	-	-	0	-	0	-	386	pubescent	0	-	4-9 cm long	4	9	pinnately veined, secondary veins 5-8 per side, originating from lower 3/4 or more of primary vein, flat above and prominulous below, tertiary veins widely reticulate or sometimes transverse. 	5	8	3445	flat	0	-	0	-	0	-	0	-	Stem densely pubescent. 	0	-	0	-	386	pubescent	0	-	0	-	-	-	-	in moist forest, swampy vegetation and stream sides,	0	-	0	-	from 0 to 700 m	-	-
Piper ciliomarginatum 	fruits trigonous, |, glabrous, 	0	-	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	0.4 mm wide	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub 	-	-	0	-	0	-	0	-	to 1-3 m tall	1	1	-	-	-	0	-	0	-	0	-	floral bracts densely marginally fringed. 	0	-	0	-	0	-	0	-	43	erect	43	erect	peduncle |, glabrous; 	-	-	0	-	71	glabrous	0	-	0.8-1.6 cm long	0.8	1.6	-	0	-	-	0	-	0	-	spike |, white, not apiculate; 	616	apiculate	0	-	2415	white	2-8 cm long	2	8	Infructescence pendent, |, green; 	106	pendent	782	green	7-8 cm long |, 3 cm thick	-	-	7	8	664	thick	-	-	-	0	-	0	-	-	-	-	blade |, densely glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex acute to acuminate, 	250	acute to acuminate	0	-	base equal or somewhat unequally attached to petiole difference |, acute or obtuse or rounded or subcordate, glabrous on both surfaces; 	327	acute or obtuse,obtuse or rounded,rounded or subcordate	71	glabrous	0	-	0	-	0-4 mm	0	4	13-22 x 6-11 cm	22	-	-	6	-	-	13	22	0	-	margin ciliate, 	-	-	0	-	1	ciliate	0	elliptic-ovate to broadly ovate	-	-	5167	ovate	not scabrous	0	-	Petiole of lower leaves |, of upper leaves |, glabrous, vaginate or winged to apex; 	-	-	0	-	0	-	71	glabrous	0	-	0-0.3 cm long	0	0.3	pinnately veined, secondary veins 46 per side, originating from lower 1/2 of primary vein, flat above and below, tertiary veins reticulate. 	-	-	3445	flat	0	-	0	-	0	-	0	-	Stem glabrous. 	0	-	0	-	71	glabrous	0	-	0	-	-	-	-	-	0	-	0	-	to 850 m	-	850
Piper consanguineum 	fruits depressed globose, |, papillose, green, becoming exserted, 	3814	globose	0	-	0	-	0	-	782	green	-	0	-	0	-	0	-	0	-	to 3 mm in diam.	-	-	-	-	-	-	0	-	stigmas 3, recurved on a very short style.	-	-	0	-	0	-	127	recurved	Herbaceous small shrub, |, sometimes creeping, retrorsely crisp-pubescent. 	-	-	0	-	386	pubescent	22	creeping	0.1-0.5 m tall	0.1	0.5	-	-	-	0	-	0	-	0	-	floral bracts cucullate, glabrous; 	2215	cucullate	0	-	71	glabrous	0	-	106	pendent	106	pendent	peduncle |, glabrescent; 	-	-	0	-	71	glabrescent	0	-	to 0.5 cm long	-	0.5	-	0	-	rachis pubescent. 	386	pubescent	0	-	spike erect, |, white, yellow to green, apiculate; 	616	apiculate	43	erect	2415	white,yellow	1.5-2.5 cm long	1.5	2.5	Infructescence |, green or brownish; 	0	-	792	green or brownish	1-3 x 0.8-1 cm	3	0.8	1	3	0	-	-	-	-	0	-	0	-	-	-	-	blade dark green above often with a pale or white band along primary vein, pale green below, not conspicuously glandular-dotted, 	0	-	0	-	0	-	782	green,white	apex obtuse-acute to acuminate, 	250	acute to acuminate,ob,obtuse	0	-	base equal or almost equally attached to petiole, rounded to subcordate, glabrous above, crisp-pubescent below especially on veins; 	6309	rounded to subcordate	71	glabrous,pubescent	0	-	0	-	-	-	-	3.5-7(-12) x 1-2(-3.5) cm	-	-	-	-	-	-	3.5	7	0	-	-	-	-	0	-	0	-	0	narrowly elliptic or lanceolate-oblong	-	-	4798	oblong	-	0	-	Petiole |, crisp-pubescent, vaginate near base; 	-	-	0	-	0	-	386	pubescent	0	-	0.2-1.5 cm long	-	-	pinnately veined, secondary veins 6-12 per side, originating from throughout primary vein, clearly anastomosing within margin. 	6	12	0	-	703	thin	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	understorey of primary forest or swampy forest, or open forest on laterite; 	0	-	0	-	up to 650 m	-	-
Piper coruscans 	fruits obovoid or somewhat angular, depressed at apex, |, glabrous, green, 	493	angular,ob,ovoid	0	-	0	-	71	glabrous	782	green	-	0	-	0	-	0	-	0	-	0.8-1 mm wide	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub or subshrub 	-	-	0	-	0	-	0	-	to 1-3 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts rounded to trigonous, densely marginally fringed. 	6274	rounded	0	-	0	-	0	-	43	erect	43	erect	peduncle |, glabrous; 	-	-	0	-	71	glabrous	0	-	0.5-1(-2.5) cm long	0.5	1	-	0	-	-	0	-	0	-	spike |, white, apiculate; 	616	apiculate	0	-	2415	white	8-11 cm long	8	11	Infructescence erect, green;      	43	erect	782	green	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, often drying yellowish or greyish green, not scabrous, not conspicuously glandular-dotted below, |, 	0	-	508	scabrous	0	-	782	green,greyish,yellowish,yellowish or greyish	apex long-acuminate, 	124	acuminate	0	-	base equal or almost equally attached to petiole, truncate, rounded or cordulate, glabrous above or primary vein somewhat appressed-pubescent, veins appressed-pubescent below; 	6274	rounded,truncate	71	glabrous,pubescent	0	-	0	-	-	-	-	11-24 x 6-13 cm	24	-	-	6	-	-	11	24	0	-	-	-	-	0	-	0	-	0	broadly ovate to ovate, or even suborbiculate	-	-	5044	suborbiculate,ovate	firmly membranous	0	-	Petiole |, glabrous or sparsely pubescent, vaginate to apex; 	-	-	0	-	0	-	71	glabrous,pubescent	0	-	2-3.2(-6.5) cm long	2	3.2	pinnately veined, secondary veins 4-7 per side, originating from lower 1/2 or lower 2/3 of primary vein, ascending at an angle of 40-45º, plane to impressed above, prominent below, tertiary veins obsoletely transverse. 	4	7	4306	ob	0	-	0	-	0	-	0	-	Stem glabrescent. 	0	-	0	-	71	glabrescent	0	-	0	-	-	-	-	riverine flood plain forest on white and brown sands, from mud in wet forest on granitic rocks, red clay or deep mud along river, also from swamp forest, 	0	-	285	brown,red,white	from 0 to 650 m	0	650
Piper crassinervium 	Fruits rounded, glabrous, with persistent style,      	6274	rounded	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 3, recurved.	-	-	0	-	0	-	127	recurved	Shrub or treelet, 	-	-	0	-	0	-	0	-	2-5 m tall	2	5	-	-	-	0	-	0	-	0	-	floral bracts marginally fringed. 	0	-	0	-	0	-	0	-	0	-	0	-	peduncle stout, |, pubescent; 	-	-	0	-	386	pubescent	0	-	0.5-1.5 cm long	-	-	-	0	-	-	0	-	0	-	spike 	0	-	0	-	0	-	12-15 x 0.5-0.7 cm	12	15	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base equal or almost equally attached to petiole, truncate or cuneate, but acute to petiole, glabrous above, veins more or less pubescent below; 	247	acute,cuneate,truncate,truncate or cuneate	71	glabrous,pubescent	0	-	0	-	-	-	-	13-20 x 5-13 cm	20	-	-	5	-	-	13	20	0	-	-	-	-	0	-	0	-	5167	ovate	-	-	5167	ovate	not scabrous	0	-	Petiole |, glabrous or pubescent, vaginate to middle or to apex; 	-	-	0	-	0	-	93	glabrous or pubescent	0	-	ca. 1.5 cm long	-	-	pinnately veined, secondary veins 4-5 per side, originating from lower 1/2 of primary vein, prominent below. 	4	5	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-
Piper cyrtopodum 	Fruits ovoid, |, glandular, glabrous, 	5290	ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	ca. 2 mm wide	-	-	-	-	-	-	0	-	stigmas 3, may be on a short style or fruits apiculate.	-	-	616	apiculate	0	-	0	-	Subshrub or herb, 	-	-	0	-	0	-	0	-	1-3(-4) m tall	1	3	-	-	-	0	-	0	-	0	-	floral bracts cucullate and pilose on inner side and at base. 	2215	cucullate	0	-	316	pilose	0	-	106	pendent	106	pendent	peduncle |, pilose, often red; 	-	-	0	-	316	pilose	1705	red	0.9-1.6 cm long	0.9	1.6	-	0	-	-	0	-	0	-	spike |, not apiculate; 	616	apiculate	0	-	0	-	2.5-5 cm long	-	-	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not conspicuously glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex acuminate or acute, 	128	acuminate or acute	0	-	base equal or almost equally attached to petiole, subcordate to rounded, somewhat pilose above, more so below; 	2193	subcordate to rounded	316	pilose	0	-	0	-	-	-	-	9-20 x 4-6(-10) cm	20	-	-	4	-	-	9	20	0	-	margin hardly ciliate, 	-	-	0	-	1	ciliate	0	elliptic-ovate, elliptic-oblong or lanceolate	-	-	4798	oblong,ovate	somewhat scabrous	0	-	Petiole |, pilose, glabrescent, vaginate to apex, sometimes reddish tinged; 	-	-	0	-	0	-	71	glabrescent,pilose	1705	reddish	0.2-1 cm long	-	-	pinnately veined, secondary veins (4-)6-8 per side, originating from throughout primary vein, plane above, prominent below. 	6	8	0	-	0	-	0	-	0	-	0	-	Stem pilose with hairs 	0	-	0	-	106	hairs,pilose	0	-	0	-	-	-	-	virgin forest, mossy cloud forest, forest on granite and from open places, 	0	-	0	-	up to 700 m	-	-
Piper demeraranum 	fruits globose, |, puberulent at apex, 	3814	globose	0	-	0	-	351	puberulent	0	-	-	0	-	0	-	0	-	0	-	2-2.5 mm wide	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Subshrub or shrub, 	-	-	0	-	0	-	0	-	1-2.5 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts cucullate, glabrous or dorsally puberulent. 	2215	cucullate	0	-	71	glabrous,puberulent	0	-	43	erect	43	erect	peduncle |, pubescent, green; 	-	-	0	-	386	pubescent	782	green	to 1 cm long	-	-	-	0	-	rachis glabrous; 	71	glabrous	0	-	spike |, white, yellow or green, apiculate; 	616	apiculate	0	-	2415	white,yellow	3.5-4.5 cm long	3.5	4.5	Infructescence |, green; 	0	-	782	green	to 6 cm long |, 10 mm wide	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not glandular-dotted, dark green above, more pale below, |, 	0	-	0	-	0	-	782	green	apex acuminate, 	124	acuminate	0	-	base unequally attached to petiole difference |, unequally cordate, with slightly larger, auriculate lobe mostly covering petiole, glabrous above, crisp-pubescent below; 	985	auriculate,cordate,ob	71	glabrous,pubescent	0	-	0	-	0.1-0.4 cm	0.1	0.4	11-26(-35) x 4-9 cm	-	-	-	-	-	-	11	26	0	-	-	-	-	0	-	0	-	0	elliptic to oblanceolate	-	-	4306	ob	membranous or subcoriaceous, not scabrous	0	-	Petiole |, crisp-pubescent, vaginate to blade; 	-	-	0	-	0	-	386	pubescent	0	-	0.3-0.5(-1) cm long	0.3	0.5	pinnately veined, secondary veins 8-11(-14) per side, originating from throughout primary vein, flat to impressed above, prominent below, tertiary veins widely reticulate. 	8	11	3445	flat	0	-	0	-	0	-	0	-	Stem crisp-pubescent or sometimes appressed-pubescent. 	0	-	0	-	386	pubescent	0	-	0	-	-	-	-	in dense forest, montane forest, growing on brown sand with granite boulders or on sandstone	0	-	285	brown	20-720 m	20	720
Piper dilatatum 	Fruits trigonous, glabrous, or with some hairs at top,      	0	-	0	-	0	-	71	glabrous,hairs	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub or subshrub 	-	-	0	-	0	-	0	-	to 4 m tall	-	4	-	-	-	0	-	0	-	0	-	floral bracts |, densely marginally fringed; 	0	-	0	-	0	-	0	-	43	erect	43	erect	peduncle |, puberulent to glabrous; 	-	-	0	-	356	puberulent to glabrous	0	-	0.5-1 cm long	-	-	-	0	-	-	0	-	0	-	spike |, white to yellow, not apiculate; 	616	apiculate	0	-	2484	white to yellow	7-8 cm long	7	8	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base unequally attached to petiole difference |, unequally cordate, rounded or obtusish, upper surface glabrous to pubescent, veins pubescent, lower surface sparsely to densely pubescent; 	2092	cordate,ob,rounded,rounded or ob	92	glabrous to pubescent	0	-	0	-	0.3-0.4 cm	0.3	0.4	15-20 x 7-9 cm	20	-	-	7	-	-	15	20	0	-	-	-	-	0	-	0	-	5905	rhombic, elliptic to subobovate	-	-	4306	ob,ovate,rhombic	hardly to densely scabrous above	0	-	Petiole |, pubescent sometimes densely so, vaginate to apex, occasionally reddish tinged; 	-	-	0	-	0	-	386	pubescent	1705	reddish	0.5-1.5 cm long	-	-	pinnately veined, secondary veins 5-6 per side, originating from lower 1/2 of primary vein, tertiary veins transverse and parallel reticulate. 	5	6	0	-	0	-	0	-	0	-	0	-	Stem crisp-pubescent or scabrous. 	0	-	508	scabrous	386	pubescent	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-
Piper divaricatum 	fruits obovoid, |, glabrous, becoming exserted, 	4306	ob,ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	1-2 mm thick	-	-	-	-	-	-	664	thick	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub, subshrub or treelet, sometimes scandent, 	-	-	0	-	0	-	169	scandent	to 3 m tall	-	3	-	-	-	0	-	0	-	0	-	floral bracts marginally fringed. 	0	-	0	-	0	-	0	-	0	usually pendent	106	pendent	peduncle |, glabrous; 	-	-	0	-	71	glabrous	0	-	0.5-0.8(-1.5) cm long	0.5	0.8	-	0	-	-	0	-	0	-	spike |, whitish, pale yellow or green, apiculate; 	616	apiculate	0	-	2415	whitish,yellow	3-6 cm long	3	6	Infructescence 	0	-	0	-	6 x 1 cm (when dried)	6	1	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, dark glandular-dotted on both sides, |, 	0	-	0	-	0	-	0	-	apex acute to acuminate, 	250	acute to acuminate	0	-	base almost equal, obtuse or acute, glabrous; 	4927	obtuse or acute	71	glabrous	0	-	0	-	-	-	-	10-20 x 3-8 cm	20	-	-	3	-	-	10	20	0	-	-	-	-	0	-	0	-	5905	rhombic, somewhat asymmetric	-	-	5905	rhombic	coriaceous, drying shiny or membranous	0	-	Petiole |, vaginate or grooved to apex; 	-	-	0	-	0	-	0	-	0	-	1-2.2 cm long	1	2.2	pinnately veined, secondary veins 4-6 per side, originating from lower 3/4 of primary vein, at a wide angle and abruptly curving upward, not anastomosing, shallowly or deeply impressed above, prominulous to prominent below, tertiary veins reticulate, slightly prominulous or inconspicuous. 	4	6	0	-	0	-	0	-	0	-	0	-	Stem glabrous. 	0	-	0	-	71	glabrous	0	-	0	-	-	-	-	in riverine forest, swamp forest, occasionally reported from regenerating forest.	0	-	0	-	-	-	-
Piper duckei 	Fruits obpyramidate-trigonous,      	4306	ob	0	-	0	-	0	-	0	-	apex depressed, glandular, pubescent, 	0	-	0	-	0	-	386	pubescent	-	-	-	-	-	-	-	0	-	stigmas 3, linear, sessile.	-	-	4552	linear	0	-	0	-	Shrub 	-	-	0	-	0	-	0	-	to 1.5 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts densely marginally fringed. 	0	-	0	-	0	-	0	-	43	erect	43	erect	peduncle |, crisp-pubescent; 	-	-	0	-	386	pubescent	0	-	0.4-1.5 cm long	-	-	-	0	-	-	0	-	0	-	spike |, pink, apiculate; 	616	apiculate	0	-	1563	pink	to 16 cm long	-	-	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade drying glossy above, |, not conspicuously glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex (long) acuminate, 	124	acuminate	0	-	base equal or unequally attached to petiole difference |, rounded or cordulate, one side may be subacute, glabrous above, hirsute below, veins densely so; 	247	subacute,rounded	71	glabrous,hirsute	0	-	0	-	0-0.5 cm	0	0.5	13-21 x 7.5-10 cm	21	-	-	7.5	-	-	13	21	0	-	-	-	-	0	-	0	-	0	slightly asymmetrical, broadly elliptic	-	-	739	asymmetrical	not scabrous	0	-	Petiole |, hirsute, broadly vaginate or winged to apex; 	-	-	0	-	0	-	141	hirsute	0	-	0.5-1.2 cm long	0.5	1.2	pinnately veined, secondary veins 4-8 per side, originating from lower 3/4 or 2/3 of primary vein, impressed above, tertiary veins reticulate, prominulous. 	4	8	0	-	0	-	0	-	0	-	0	-	Stem densely hirsute. 	0	-	0	-	141	hirsute	0	-	0	-	-	-	-	dense forest on brown sand, 	0	-	285	brown	240 m	-	-
